圥,(*ruɡ)
圭,(*kʷeː)
坐,(*zoːlʔ)
坙,()
坴,(*m·ruɡ)
垂,(*djol)
垔,(*qin)
垚,(*ŋeːw)
埶,(*ŋeds)
執,(*tjib)
堇,(*ɡrɯn)
塞,(*slɯːɡs)
士,(*zrɯʔ)
壬,(*l̥ʰeːŋʔ)
壴,(*tos)
壹,(*qlid)
壽,(*djuʔ)
夅,(*ɡruːŋ)
夆,(*pʰoŋ)
夌,(*rɯŋ)
复,(*buɡ)
夏,(*ɡraːʔ)
夐,(*qʰʷeːns)
夒,(*ml'uː)
夔,(*ɡrul)
夕,(*ljaːɡ)
夗,(*qonʔ)
夙,(*suɡ)
多,(*ʔl'aːl)
夢,(*mɯŋ)
大,(*daːds)
天,(*qʰl'iːn)
夫,(*pa)
夬,(*kʷraːds)
夭,(*qoːwʔ)
央,(*qaŋ)
夰,(*kuːʔ)
失,(*hliɡ)
夷,(*lil)
夾,(*kreːb)
奄,(*qromʔ)
奇,(*kral)
奈,(*naːls)
奏,(*ʔsoːs)
奐,(*qʰʷaːns)
奔,(*pɯːn)
奚,(*ɡeː)
奠,(*diːŋs)
奧,(*quːɡs)
奭,(*hjaɡ)
女,(*naʔ)
好,(*qʰuːʔ)
妃,(*pʰɯːls)
妟,()
妥,(*n̥ʰoːlʔ)
妻,(*sʰiːl)
妾,(*sʰeb)
委,(*qrol)
姥,(*ruːʔ)
姦,(*kraːn)
威,(*qul)
婁,(*ɡ·roː)
子,(*ʔslɯʔ)
孑,(*ked)
孔,(*kʰloːŋʔ)
存,(*zluːn)
孚,(*pʰuw)
孛,(*bɯːds)
孝,(*qʰruːs)
季,(*kʷids)
孨,(*nɯb)
孫,(*suːn)
孰,(*djɯwɢ)
孱,(*sɡreːn)
孴,(*ŋɯʔ)
學,(*ɡruːɡ)
宁,(*da)
它,(*l̥ʰaːl)
守,(*qʰljuʔ)
安,(*qaːn)
宋,(*sluːŋs)
宕,(*daːŋs)
宗,(*ʔsuːŋ)
官,(*koːn)
宰,(*ʔsɯːʔ)
害,(*ɡaːds)
家,(*kraː)
宷,(*hljɯmʔ)
宿,(*suɡs)
寅,(*lil)
寇,(*kʰoːs)
寉,(*ɡluːwɢ)
寒,(*ɡaːn)
寧,(*neːŋ)
寸,(*sʰuːns)
寺,(*ljɯs)
寽,(*rud)
封,(*poŋ)
射,(*ɢljaːɡs)
專,(*tjon)
尉,(*quds)
尊,(*ʔsuːn)
尋,(*ljum)
對,(*tuːbs)
小,(*smewʔ)
尔,(*njelʔ)
尗,(*hljɯwɢ)
尚,(*djaŋ)
尞,()
尤,(*ɢʷɯ)
尨,(*mroːŋ)
就,(*zuɡs)
尸,(*hli)
尹,(*ɢʷlinʔ)
尺,(*tʰjaɡ)
尼,(*nil)
尾,(*mɯlʔ)
局,(*ɡoɡ)
屋,(*qoːɡ)
展,(*tenʔ)
屖,(*sliːl)
屚,(*roːs)
屯,(*duːn)
屰,(*ŋraɡ)
山,(*sreːn)
岡,(*klaːŋ)
岳,(*ŋroːɡ)
崔,(*zluːl)
巂,()
川,(*kʰjon)
州,(*tju)
巠,(*keːŋ)
巢,(*zraːw)
巤,(*rab)
工,(*koːŋ)
左,(*ʔsaːlʔ)
巨,(*ɡaʔ)
巫,(*ma)
己,(*kɯʔ)
巳,(*ljɯʔ)
巴,(*praː)
巵,(*tje)
巽,(*sqʰuːns)
巾,(*krɯn)
巿,(*pub)
帀,(*ʔsuːb)
希,(*hlɯl)
帚,(*pjuʔ)
帝,(*teːɡs)
師,(*sri)
帶,(*taːds)
干,(*kaːn)
平,(*ben)
幵,(*kŋeːn)
并,(*peŋ)
幸,(*ɡreːŋʔ)
幺,(*qiːw)
幼,(*qrɯws)
幾,(*kɯl)
庚,(*kraːŋ)
庶,(*hljaɡs)
廄,(*kɯws)
廛,(*dan)
延,(*lan)
廷,(*l'eːŋ)
建,(*kans)
弁,(*brons)
弄,(*roːŋs)
弇,(*kɯːm)
弋,(*lɯɡ)
弓,(*kʷɯŋ)
弔,(*tiːwɢ)
引,(*linʔ)
弗,(*pɯd)
弘,(*ɡʷɯːŋ)
弟,(*diːlʔ)
弢,(*tʰaːw)
弱,(*njewɢ)
強,(*ɡaŋ)
彔,(*b·roːɡ)
彖,(*l̥ʰjelʔ)
彗,(*sɢʷeds)
彡,(*sroːm)
